item_id,order_id,item_name,quantity,item_price,special_instructions
1,1,Chicken Tacos,3,17.72,
2,1,chicken tacos  ,1,26.47,
3,1,caesar salad,3,8.56,
4,1,Pad Thai,1,$7.86,Start watch finally learn media much national peace.
5,2,VEGGIE BOWL,2,27.21,
6,2,BURGER DELUXE,0,,
7,2,  Pad Thai  ,0,16.95,
8,2,caesar salad,1,14.01,
9,3,Chicken  Tacos,1,20.65,
10,3,Pad Thai,1,$29.75,
11,3,sushi roll,0,21.79,
12,3,Sushi Roll,1,26.15,
13,3,BURGER DELUXE,0,22.1,
14,4,Chocolate Lava Cake,1,19.87,
15,4,Chocolate Lava Cake,2,$20.88,
16,5,Veggie Bowl,1,23.6,
17,5,BBQ Ribs,1,$20.03,
18,5,french fries,3,8.63,
19,6,Sushi Roll,1,20.98,Effort least or whose address relationship head.
20,6,chocolate lava cake,1,,
21,6,bbq ribs,-1,25.27,
22,6,French Fries,1,$15.1,
23,7,Chicken Tacos,0,12.69,
24,8,french fries,3,11.12,
25,8,chocolate lava cake,1,10.86,
26,8,  Margherita Pizza,-1,$21.96,
27,8,BURGER DELUXE,0,26.24,
28,8,Caesar Salad,2,$7.78,
29,9,Chicken  Tacos,1,$15.71,Modern power good actually.
30,9,Chicken  Tacos,1,,Loss door nor world their they.
31,9,PAD THAI,1,24.31,Group son party century economy character.
32,9,BBQ Ribs,1,9.08,
33,10,Burger Deluxe,1,,Cover same most account fear college wrong.
34,10,Chicken Tacos,1,14.25,
35,10,Chicken  Tacos,1,,
36,11,  Sushi Roll,1,25.15,
37,11,sushi roll,-1,11.22,
38,11,  burger deluxe,-1,28.44,Stage green political truth agency thank sit have.
39,12,  Margherita Pizza,1,$19.93,
40,13,  Margherita Pizza,3,27.14,
41,13,french fries,-1,$15.26,
42,14,Veggie Bowl,2,12.27,
43,15,caesar salad,-1,12.92,Within sing race build boy far ask soon.
44,15,  Pad Thai  ,-1,,
45,15,  Margherita Pizza,1,,Serious sing all each big low vote.
46,16,Burger Deluxe,1,17.36,
47,16,Burger Deluxe,2,19.71,
48,16,CAESAR SALAD,-1,14.82,
49,17,Chocolate Lava Cake,1,,
50,17,chocolate lava cake,0,10.78,
51,17,Veggie Bowl,2,$5.78,Middle government energy board capital perform.
52,17,margherita pizza,3,,
53,18,PAD THAI,3,7.57,
54,18,chocolate lava cake,1,26.61,Trouble game yourself inside upon across.
55,19,Margherita Pizza  ,0,7.55,
56,19,CAESAR SALAD,1,7.92,Religious ball mention game.
57,20,BBQ Ribs,2,5.17,Eat husband push because.
58,20,Chocolate Lava Cake,3,10.73,
59,21,Burger Deluxe,2,,
60,21,PAD THAI,1,,
61,21,Chicken Tacos,2,9.83,
62,21,margherita pizza,1,,
63,22,BBQ  Ribs,-1,20.98,
64,23,caesar salad,3,16.49,
65,23,Margherita Pizza  ,2,21.63,Evening eight trouble democratic financial.
66,23,BBQ Ribs,3,,Affect fear side animal themselves gun interest.
67,23,caesar salad,2,22.42,
68,23,Chocolate Lava Cake,1,$6.31,Car international forward travel help method able there.
69,24,Pad Thai,0,4.84,
70,24,Burger Deluxe,-1,,
71,25,PAD THAI,1,,
72,25,Veggie Bowl,3,$8.59,Machine into realize parent among son.
73,25,Sushi Roll,1,19.02,
74,26,french fries,1,,Discussion thought any case tough center nation.
75,26,bbq ribs,2,9.71,President late body one product local serve.
76,26,Pad Thai,2,7.52,
77,26,caesar salad,-1,22.78,
78,26,VEGGIE BOWL,-1,$11.06,
79,27,  Veggie Bowl  ,1,6.61,Positive live anyone analysis positive though.
80,27,bbq ribs,0,26.78,
81,28,  burger deluxe,1,$28.41,
82,28,Sushi Roll,1,,
83,28,  Veggie Bowl  ,1,13.15,
84,28,Chocolate Lava Cake,-1,,
85,28,French Fries,1,,
86,29,  Sushi Roll,2,6.3,
87,29,Chocolate Lava Cake,-1,25.48,Course ok data language section whatever stand.
88,29,  burger deluxe,0,,
89,29,Burger Deluxe,2,$5.07,
90,29,PAD THAI,2,,
91,30,  Margherita Pizza,1,22.02,
92,31,caesar salad,1,$23.1,
93,31,bbq ribs,2,26.44,Feel including strategy hot.
94,31,  burger deluxe,1,21.13,
95,31,CAESAR SALAD,-1,$9.23,
96,31,BBQ  Ribs,2,23.54,Skin authority school marriage teacher realize.
97,32,CAESAR SALAD,2,$10.76,
98,32,  Sushi Roll,-1,$11.57,Deal should clearly fund or.
99,32,chocolate lava cake,-1,26.47,
100,33,BBQ Ribs,0,,
101,33,Pad Thai,2,12.94,Say along thousand about western very.
102,33,BURGER DELUXE,2,,Course serve still matter word glass.
103,34,French Fries,0,,Pm develop phone positive week.
104,34,BURGER DELUXE,0,$4.25,
